Size, InsertionSort, Quicksort, ShellSort
10, 3644, 7550, 4136
20, 3904, 8628, 5161
40, 10504, 19588, 11446
80, 43903, 39022, 27247
160, 149965, 91285, 58619
320, 645667, 143530, 168078
640, 1214522, 107082, 396331
1280, 1766627, 192507, 899796
2560, 4981994, 402922, 1660725
5120, 3659430, 623796, 870054
10, 6683, 9766, 5746
20, 7280, 16026, 6237
40, 14037, 22721, 14306
80, 50245, 163375, 49978
160, 302505, 347393, 139140
320, 1476521, 660789, 297379
640, 3074889, 135827, 472835
1280, 2893847, 286890, 1580367
2560, 6690545, 706583, 2499214
5120, 50472133, 1366234, 3042982
